program,funder_id,amount,eligibility,applicant_for_us,opens,deadline,decision,link,verified
Carlsbad Community Arts Grants,carlsbad,Unpublished,"Individuals, schools, arts orgs; Carlsbad activity",Garden creatives; TAS,~2027-spring (est.),⚠,,https://www.carlsbadca.gov/departments/cultural-arts,⚠
Bank of America Neighborhood Builders,bofa,Leadership + funding,Nonprofit ED + emerging leader,TAS,2027-spring,⚠,,https://about.bankofamerica.com,⚠
Port of San Diego Tidelands Activation Program,port,Event support,Nonprofit free public events on tidelands,TAS (bayfront showcase),⚠,2027-05-01,,https://www.portofsandiego.org/tidelands-activation-program,⚠
2028 Prebys Leadership Awards nominations,prebys,$100k individual,"SD County leaders, 3+ yrs in role",Nominate a Garden leader,~2027-06-05 (est.),~2027-07-23 (est.),2028-02,https://www.prebysfdn.org/grants/2027-prebys-leadership-awards,⚠
NEA Challenge America FY28,nea,$10k,Budget <$250k; no fiscal sponsors; 5-yr history,Nobody yet,⚠,~2027-07 (est.),~2028-04,https://www.arts.gov/grants/challenge-america,⚠
Next Prebys arts cycle (successor to Arts Ecosystem / Artists Count),prebys,$10k-$250k historically,501c3 / fiscally sponsored / tribal; or individual artists,TAS + platform; Garden creatives,unannounced,unannounced,,https://prebysfdn.org/connect,⚠
Cushman Foundation (via JCF CAP),cushman,$100-$1.05M,501c3; no religious institutions; no individuals,"TAS, secular framing",per JCF cycle,⚠,,https://cap.jcfsandiego.org,⚠
Cal Humanities — Humanities for All,calhum,$10-25k,CA nonprofits; 1:1 match,Confirm status first,⚠,⚠,,https://calhum.org/grants-fellowships/humanities-for-all/,⚠⚠
Rancho Santa Fe Women's Fund,rsfwf,~$400k/yr pooled,501c3; LOI; theme rotates,TAS,annual,⚠,,https://rsfwomensfund.org,⚠
Del Mar Foundation grants,delmarfdn,~$138k/yr total,Community/cultural programs benefiting Del Mar,TAS (Del Mar program),⚠,⚠,,https://www.delmarfoundation.org/grants/application,⚠
